antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Forrest Gump (1994)=high'}),"frozenset({'Shawshank Redemption, The (1994)=high'})",0.09390723857918597,0.11313704976834554,0.015493448911473123,0.16498673740053052,1.4582909642628132,1.0,0.004869060986731861,1.0620944480220258,0.34683622359394584,0.08088426527958387,0.05846414896308555,0.15096540744971482
"frozenset({'Shawshank Redemption, The (1994)=high'})",frozenset({'Forrest Gump (1994)=high'}),0.11313704976834554,0.09390723857918597,0.015493448911473123,0.13694407749889914,1.458290964262813,1.0,0.004869060986731861,1.0498656434625862,0.3543566585061615,0.08088426527958387,0.047497166683274826,0.15096540744971482
frozenset({'Pulp Fiction (1994)=high'}),frozenset({'Forrest Gump (1994)=high'}),0.09525232899915309,0.09390723857918597,0.01260399541672894,0.13232217573221758,1.4090732273065272,1.0,0.0036591122321823558,1.0442732729575628,0.32087805754980764,0.0713882618510158,0.04239625211528499,0.13326984118175866
frozenset({'Forrest Gump (1994)=high'}),frozenset({'Pulp Fiction (1994)=high'}),0.09390723857918597,0.09525232899915309,0.01260399541672894,0.13421750663129975,1.4090732273065272,1.0,0.0036591122321823558,1.0450057351939928,0.32040171559061226,0.0713882618510158,0.043067452817029894,0.13326984118175866
"frozenset({'Silence of the Lambs, The (1991)=high'})","frozenset({'Shawshank Redemption, The (1994)=high'})",0.08952324017336721,0.11313704976834554,0.016190903203307926,0.1808569838619922,1.5985654940826812,1.0,0.006062507924390129,1.0826716858466598,0.41125612404666895,0.08682874699438953,0.07635896174934104,0.16198287326080674
"frozenset({'Shawshank Redemption, The (1994)=high'})","frozenset({'Silence of the Lambs, The (1991)=high'})",0.11313704976834554,0.08952324017336721,0.016190903203307926,0.1431087626596213,1.5985654940826812,1.0,0.006062507924390129,1.0625348003937733,0.4222063208109719,0.08682874699438953,0.058854355048510526,0.16198287326080674
frozenset({'Forrest Gump (1994)=high'}),"frozenset({'Silence of the Lambs, The (1991)=high'})",0.09390723857918597,0.08952324017336721,0.01150799581527425,0.12254641909814325,1.3688782807774231,1.0,0.0031011155419320893,1.0376352432123355,0.2974031686369492,0.06693711967545639,0.036270205217609396,0.1255469991984873
"frozenset({'Silence of the Lambs, The (1991)=high'})",frozenset({'Forrest Gump (1994)=high'}),0.08952324017336721,0.09390723857918597,0.01150799581527425,0.12854757929883137,1.368878280777423,1.0,0.0031011155419320893,1.039750122779823,0.2959711551307087,0.06693711967545639,0.03823045740408193,0.1255469991984873
frozenset({'Pulp Fiction (1994)=high'}),"frozenset({'Silence of the Lambs, The (1991)=high'})",0.09525232899915309,0.08952324017336721,0.014746176455935834,0.15481171548117154,1.7292907984716506,1.0,0.00621887932987206,1.0772472554384418,0.4661280409311904,0.0867272194550249,0.0717080085824883,0.15976534577620066
"frozenset({'Silence of the Lambs, The (1991)=high'})",frozenset({'Pulp Fiction (1994)=high'}),0.08952324017336721,0.09525232899915309,0.014746176455935834,0.16471897607122982,1.7292907984716508,1.0,0.00621887932987206,1.083165599459375,0.4631949743571542,0.0867272194550249,0.076780133620274,0.15976534577620066
